DPTOMPIO,DPTO_CCDGO,MPIO_CCDGO,MPIO_CNMBR,MPIO_CCNCT
15226,15,226,CUÍTIVA,15226
15232,15,232,CHÍQUIZA,15232
15236,15,236,CHIVOR,15236
15238,15,238,DUITAMA,15238
15244,15,244,EL COCUY,15244
15248,15,248,EL ESPINO,15248
15272,15,272,FIRAVITOBA,15272
15276,15,276,FLORESTA,15276
15293,15,293,GACHANTIVÁ,15293
15296,15,296,GÁMEZA,15296
15299,15,299,GARAGOA,15299
15317,15,317,GUACAMAYAS,15317
15322,15,322,GUATEQUE,15322
15325,15,325,GUAYATÁ,15325
15332,15,332,GÜICÁN,15332
15362,15,362,IZA,15362
15367,15,367,JENESANO,15367
15368,15,368,JERICÓ,15368
15377,15,377,LABRANZAGRANDE,15377
15380,15,380,LA CAPILLA,15380
15401,15,401,LA VICTORIA,15401
15403,15,403,LA UVITA,15403
15407,15,407,VILLA DE LEYVA,15407
15425,15,425,MACANAL,15425
15442,15,442,MARIPÍ,15442
15455,15,455,MIRAFLORES,15455
15464,15,464,MONGUA,15464
15466,15,466,MONGUÍ,15466
15469,15,469,MONIQUIRÁ,15469
15476,15,476,MOTAVITA,15476
15480,15,480,MUZO,15480
15491,15,491,NOBSA,15491
15494,15,494,NUEVO COLÓN,15494
15500,15,500,OICATÁ,15500
15507,15,507,OTANCHE,15507
15511,15,511,PACHAVITA,15511
15514,15,514,PÁEZ,15514
15516,15,516,PAIPA,15516
15518,15,518,PAJARITO,15518
15522,15,522,PANQUEBA,15522
15531,15,531,PAUNA,15531
15533,15,533,PAYA,15533
15537,15,537,PAZ DE RÍO,15537
15542,15,542,PESCA,15542
15550,15,550,PISBA,15550
15572,15,572,PUERTO BOYACÁ,15572
15580,15,580,QUÍPAMA,15580
15599,15,599,RAMIRIQUÍ,15599
15600,15,600,RÁQUIRA,15600
15621,15,621,RONDÓN,15621
15632,15,632,SABOYÁ,15632
15638,15,638,SÁCHICA,15638
15646,15,646,SAMACÁ,15646
15660,15,660,SAN EDUARDO,15660
15664,15,664,SAN JOSÉ DE PARE,15664
15667,15,667,SAN LUIS DE GACENO,15667
15673,15,673,SAN MATEO,15673
15676,15,676,SAN MIGUEL DE SEMA,15676
15681,15,681,SAN PABLO DE BORBUR,15681
15686,15,686,SANTANA,15686
15690,15,690,SANTA MARÍA,15690
15693,15,693,SANTA ROSA DE VITERBO,15693
15696,15,696,SANTA SOFÍA,15696
15720,15,720,SATIVANORTE,15720
15723,15,723,SATIVASUR,15723
15740,15,740,SIACHOQUE,15740
15753,15,753,SOATÁ,15753
15755,15,755,SOCOTÁ,15755
15757,15,757,SOCHA,15757
15759,15,759,SOGAMOSO,15759
15761,15,761,SOMONDOCO,15761
15762,15,762,SORA,15762
15763,15,763,SOTAQUIRÁ,15763
15764,15,764,SORACÁ,15764
15774,15,774,SUSACÓN,15774
15776,15,776,SUTAMARCHÁN,15776
15778,15,778,SUTATENZA,15778
15790,15,790,TASCO,15790
15798,15,798,TENZA,15798
15804,15,804,TIBANÁ,15804
15806,15,806,TIBASOSA,15806
15808,15,808,TINJACÁ,15808
15810,15,810,TIPACOQUE,15810
15814,15,814,TOCA,15814
15816,15,816,TOGÜÍ,15816
15820,15,820,TÓPAGA,15820
15822,15,822,TOTA,15822
15832,15,832,TUNUNGUÁ,15832
15835,15,835,TURMEQUÉ,15835
15837,15,837,TUTA,15837
15839,15,839,TUTAZÁ,15839
15842,15,842,ÚMBITA,15842
15861,15,861,VENTAQUEMADA,15861
15879,15,879,VIRACACHÁ,15879
15897,15,897,ZETAQUIRA,15897
17001,17,001,MANIZALES,17001
17013,17,013,AGUADAS,17013
17042,17,042,ANSERMA,17042
17050,17,050,ARANZAZU,17050
17088,17,088,BELALCÁZAR,17088
17174,17,174,CHINCHINÁ,17174
17272,17,272,FILADELFIA,17272
17380,17,380,LA DORADA,17380
17388,17,388,LA MERCED,17388
17433,17,433,MANZANARES,17433
17442,17,442,MARMATO,17442
17444,17,444,MARQUETALIA,17444
17446,17,446,MARULANDA,17446
17486,17,486,NEIRA,17486
17495,17,495,NORCASIA,17495
17513,17,513,PÁCORA,17513
17524,17,524,PALESTINA,17524
17541,17,541,PENSILVANIA,17541
17614,17,614,RIOSUCIO,17614
17616,17,616,RISARALDA,17616
17653,17,653,SALAMINA,17653
17662,17,662,SAMANÁ,17662
17665,17,665,SAN JOSÉ,17665
17777,17,777,SUPÍA,17777
17867,17,867,VICTORIA,17867
17873,17,873,VILLAMARÍA,17873
17877,17,877,VITERBO,17877
18001,18,001,FLORENCIA,18001
18029,18,029,ALBANIA,18029
18094,18,094,BELÉN DE LOS ANDAQUÍES,18094
18150,18,150,CARTAGENA DEL CHAIRÁ,18150
18205,18,205,CURILLO,18205
18247,18,247,EL DONCELLO,18247
18256,18,256,EL PAUJÍL,18256
18410,18,410,LA MONTAÑITA,18410
18460,18,460,MILÁN,18460
18479,18,479,MORELIA,18479
18592,18,592,PUERTO RICO,18592
18610,18,610,SAN JOSÉ DEL FRAGUA,18610
18753,18,753,SAN VICENTE DEL CAGUÁN,18753
18756,18,756,SOLANO,18756
18785,18,785,SOLITA,18785
18860,18,860,VALPARAÍSO,18860
19001,19,001,POPAYÁN,19001
19022,19,022,ALMAGUER,19022
19050,19,050,ARGELIA,19050
19075,19,075,BALBOA,19075
19100,19,100,BOLÍVAR,19100
19110,19,110,BUENOS AIRES,19110
19130,19,130,CAJIBÍO,19130
19137,19,137,CALDONO,19137
19142,19,142,CALOTO,19142
19212,19,212,CORINTO,19212
19256,19,256,EL TAMBO,19256
19290,19,290,FLORENCIA,19290
19300,19,300,GUACHENÉ,19300
19318,19,318,GUAPÍ,19318
19355,19,355,INZÁ,19355
19364,19,364,JAMBALÓ,19364
19392,19,392,LA SIERRA,19392
19397,19,397,LA VEGA,19397
19418,19,418,LÓPEZ DE MICAY,19418
19450,19,450,MERCADERES,19450
19455,19,455,MIRANDA,19455
19473,19,473,MORALES,19473
19513,19,513,PADILLA,19513
19517,19,517,PÁEZ,19517
19532,19,532,PATÍA,19532
19533,19,533,PIAMONTE,19533
19548,19,548,PIENDAMÓ,19548
19573,19,573,PUERTO TEJADA,19573
19585,19,585,PURACÉ,19585
19622,19,622,ROSAS,19622
19693,19,693,SAN SEBASTIÁN,19693
19698,19,698,SANTANDER DE QUILICHAO,19698
19701,19,701,SANTA ROSA,19701
19743,19,743,SILVIA,19743
19760,19,760,SOTARA,19760
19780,19,780,SUÁREZ,19780
19785,19,785,SUCRE,19785
19807,19,807,TIMBÍO,19807
19809,19,809,TIMBIQUÍ,19809
19821,19,821,TORIBÍO,19821
19824,19,824,TOTORÓ,19824
19845,19,845,VILLA RICA,19845
20001,20,001,VALLEDUPAR,20001
20011,20,011,AGUACHICA,20011
20013,20,013,AGUSTÍN CODAZZI,20013
20032,20,032,ASTREA,20032
20045,20,045,BECERRIL,20045
20060,20,060,BOSCONIA,20060
20175,20,175,CHIMICHAGUA,20175
20178,20,178,CHIRIGUANÁ,20178
20228,20,228,CURUMANÍ,20228
20238,20,238,EL COPEY,20238
20250,20,250,EL PASO,20250
20295,20,295,GAMARRA,20295
20310,20,310,GONZÁLEZ,20310
20383,20,383,LA GLORIA,20383
20400,20,400,LA JAGUA DE IBIRICO,20400
20443,20,443,MANAURE BALCÓN DEL CESAR,20443
20517,20,517,PAILITAS,20517
20550,20,550,PELAYA,20550
20570,20,570,PUEBLO BELLO,20570
20614,20,614,RÍO DE ORO,20614
20621,20,621,LA PAZ,20621
20710,20,710,SAN ALBERTO,20710
20750,20,750,SAN DIEGO,20750
20770,20,770,SAN MARTÍN,20770
20787,20,787,TAMALAMEQUE,20787
23001,23,001,MONTERÍA,23001
23068,23,068,AYAPEL,23068
23079,23,079,BUENAVISTA,23079
23090,23,090,CANALETE,23090
23162,23,162,CERETÉ,23162
23168,23,168,CHIMÁ,23168
23182,23,182,CHINÚ,23182
23189,23,189,CIÉNAGA DE ORO,23189
23300,23,300,COTORRA,23300
23350,23,350,LA APARTADA,23350
23417,23,417,LORICA,23417
23419,23,419,LOS CÓRDOBAS,23419
23464,23,464,MOMIL,23464
23466,23,466,MONTELÍBANO,23466
23500,23,500,MOÑITOS,23500
23555,23,555,PLANETA RICA,23555
23570,23,570,PUEBLO NUEVO,23570
23574,23,574,PUERTO ESCONDIDO,23574
23580,23,580,PUERTO LIBERTADOR,23580
23586,23,586,PURÍSIMA DE LA CONCEPCIÓN,23586
23660,23,660,SAHAGÚN,23660
23670,23,670,SAN ANDRÉS DE SOTAVENTO,23670
23672,23,672,SAN ANTERO,23672
23675,23,675,SAN BERNARDO DEL VIENTO,23675
23678,23,678,SAN CARLOS,23678
23682,23,682,SAN JOSÉ DE URÉ,23682
23686,23,686,SAN PELAYO,23686
23807,23,807,TIERRALTA,23807
23815,23,815,TUCHÍN,23815
23855,23,855,VALENCIA,23855
25001,25,001,AGUA DE DIOS,25001
25019,25,019,ALBÁN,25019
25035,25,035,ANAPOIMA,25035
25040,25,040,ANOLAIMA,25040
25053,25,053,ARBELÁEZ,25053
25086,25,086,BELTRÁN,25086
25095,25,095,BITUIMA,25095
25099,25,099,BOJACÁ,25099
25120,25,120,CABRERA,25120
25123,25,123,CACHIPAY,25123
25126,25,126,CAJICÁ,25126
25148,25,148,CAPARRAPÍ,25148
25151,25,151,CÁQUEZA,25151
25154,25,154,CARMEN DE CARUPA,25154
25168,25,168,CHAGUANÍ,25168
25175,25,175,CHÍA,25175
25178,25,178,CHIPAQUE,25178
25181,25,181,CHOACHÍ,25181
25183,25,183,CHOCONTÁ,25183
25200,25,200,COGUA,25200
25214,25,214,COTA,25214
25224,25,224,CUCUNUBÁ,25224
25245,25,245,EL COLEGIO,25245
25258,25,258,EL PEÑÓN,25258
25260,25,260,EL ROSAL,25260
25269,25,269,FACATATIVÁ,25269
25279,25,279,FÓMEQUE,25279
25281,25,281,FOSCA,25281
25286,25,286,FUNZA,25286
25288,25,288,FÚQUENE,25288
25290,25,290,FUSAGASUGÁ,25290
25293,25,293,GACHALÁ,25293
25295,25,295,GACHANCIPÁ,25295
25297,25,297,GACHETÁ,25297
25299,25,299,GAMA,25299
25307,25,307,GIRARDOT,25307
25312,25,312,GRANADA,25312
25317,25,317,GUACHETÁ,25317
25320,25,320,GUADUAS,25320
25322,25,322,GUASCA,25322
25324,25,324,GUATAQUÍ,25324
25326,25,326,GUATAVITA,25326
25328,25,328,GUAYABAL DE SÍQUIMA,25328
25335,25,335,GUAYABETAL,25335
25339,25,339,GUTIÉRREZ,25339
25368,25,368,JERUSALÉN,25368
25372,25,372,JUNÍN,25372
25377,25,377,LA CALERA,25377
25386,25,386,LA MESA,25386
25394,25,394,LA PALMA,25394
25398,25,398,LA PEÑA,25398
25402,25,402,LA VEGA,25402
25407,25,407,LENGUAZAQUE,25407
25426,25,426,MACHETÁ,25426
25430,25,430,MADRID,25430
25436,25,436,MANTA,25436
25438,25,438,MEDINA,25438
25473,25,473,MOSQUERA,25473
25483,25,483,NARIÑO,25483
25486,25,486,NEMOCÓN,25486
25488,25,488,NILO,25488
25489,25,489,NIMAIMA,25489
25491,25,491,NOCAIMA,25491
25506,25,506,VENECIA,25506
25513,25,513,PACHO,25513
25518,25,518,PAIME,25518
25524,25,524,PANDI,25524
25530,25,530,PARATEBUENO,25530
25535,25,535,PASCA,25535
25572,25,572,PUERTO SALGAR,25572
25580,25,580,PULÍ,25580
25592,25,592,QUEBRADANEGRA,25592
25594,25,594,QUETAME,25594
25596,25,596,QUIPILE,25596
25599,25,599,APULO,25599
25612,25,612,RICAURTE,25612
25645,25,645,SAN ANTONIO DEL TEQUENDAMA,25645
25649,25,649,SAN BERNARDO,25649
25653,25,653,SAN CAYETANO,25653
25658,25,658,SAN FRANCISCO,25658
25662,25,662,SAN JUAN DE RIOSECO,25662
25718,25,718,SASAIMA,25718
25736,25,736,SESQUILÉ,25736
25740,25,740,SIBATÉ,25740
25743,25,743,SILVANIA,25743
25745,25,745,SIMIJACA,25745
25754,25,754,SOACHA,25754
25758,25,758,SOPÓ,25758
25769,25,769,SUBACHOQUE,25769
25772,25,772,SUESCA,25772
25777,25,777,SUPATÁ,25777
25779,25,779,SUSA,25779
25781,25,781,SUTATAUSA,25781
25785,25,785,TABIO,25785
25793,25,793,TAUSA,25793
25797,25,797,TENA,25797
25799,25,799,TENJO,25799
25805,25,805,TIBACUY,25805
25807,25,807,TIBIRITA,25807
25815,25,815,TOCAIMA,25815
25817,25,817,TOCANCIPÁ,25817
25823,25,823,TOPAIPÍ,25823
25839,25,839,UBALÁ,25839
25841,25,841,UBAQUE,25841
25843,25,843,VILLA DE SAN DIEGO DE UBATÉ,25843
25845,25,845,UNE,25845
25851,25,851,ÚTICA,25851
25862,25,862,VERGARA,25862
25867,25,867,VIANÍ,25867
25871,25,871,VILLAGÓMEZ,25871
25873,25,873,VILLAPINZÓN,25873
25875,25,875,VILLETA,25875
25878,25,878,VIOTÁ,25878
25885,25,885,YACOPÍ,25885
25898,25,898,ZIPACÓN,25898
25899,25,899,ZIPAQUIRÁ,25899
27001,27,001,QUIBDÓ,27001
27006,27,006,ACANDÍ,27006
27025,27,025,ALTO BAUDÓ,27025
27050,27,050,ATRATO,27050
27073,27,073,BAGADÓ,27073
27075,27,075,BAHÍA SOLANO,27075
27077,27,077,BAJO BAUDÓ,27077
27099,27,099,BOJAYÁ,27099
27135,27,135,EL CANTÓN DEL SAN PABLO,27135
27150,27,150,CARMEN DEL DARIÉN,27150
27160,27,160,CÉRTEGUI,27160
27205,27,205,CONDOTO,27205
27245,27,245,EL CARMEN DE ATRATO,27245
27250,27,250,EL LITORAL DEL SAN JUAN,27250
27361,27,361,ISTMINA,27361
27372,27,372,JURADÓ,27372
27413,27,413,LLORÓ,27413
27425,27,425,MEDIO ATRATO,27425
27430,27,430,MEDIO BAUDÓ,27430
27450,27,450,MEDIO SAN JUAN,27450
27491,27,491,NÓVITA,27491
27495,27,495,NUQUÍ,27495
27580,27,580,RÍO IRÓ,27580
27600,27,600,RÍO QUITO,27600
27615,27,615,RIOSUCIO,27615
27660,27,660,SAN JOSÉ DEL PALMAR,27660
27745,27,745,SIPÍ,27745
27787,27,787,TADÓ,27787
27800,27,800,UNGUÍA,27800
27810,27,810,UNIÓN PANAMERICANA,27810
41001,41,001,NEIVA,41001
41006,41,006,ACEVEDO,41006
41013,41,013,AGRADO,41013
41016,41,016,AIPE,41016
41020,41,020,ALGECIRAS,41020
41026,41,026,ALTAMIRA,41026
41078,41,078,BARAYA,41078
41132,41,132,CAMPOALEGRE,41132
41206,41,206,COLOMBIA,41206
41244,41,244,ELÍAS,41244
41298,41,298,GARZÓN,41298
41306,41,306,GIGANTE,41306
41319,41,319,GUADALUPE,41319
41349,41,349,HOBO,41349
41357,41,357,ÍQUIRA,41357
41359,41,359,ISNOS,41359
41378,41,378,LA ARGENTINA,41378
41396,41,396,LA PLATA,41396
41483,41,483,NÁTAGA,41483
41503,41,503,OPORAPA,41503
41518,41,518,PAICOL,41518
41524,41,524,PALERMO,41524
41530,41,530,PALESTINA,41530
41548,41,548,PITAL,41548
41551,41,551,PITALITO,41551
41615,41,615,RIVERA,41615
41660,41,660,SALADOBLANCO,41660
41668,41,668,SAN AGUSTÍN,41668
41676,41,676,SANTA MARÍA,41676
41770,41,770,SUAZA,41770
41791,41,791,TARQUI,41791
41797,41,797,TESALIA,41797
41799,41,799,TELLO,41799
41801,41,801,TERUEL,41801
41807,41,807,TIMANÁ,41807
41872,41,872,VILLAVIEJA,41872
41885,41,885,YAGUARÁ,41885
44001,44,001,RIOHACHA,44001
44035,44,035,ALBANIA,44035
44078,44,078,BARRANCAS,44078
44090,44,090,DIBULLA,44090
44098,44,098,DISTRACCIÓN,44098
44110,44,110,EL MOLINO,44110
44279,44,279,FONSECA,44279
44378,44,378,HATONUEVO,44378
44420,44,420,LA JAGUA DEL PILAR,44420
44430,44,430,MAICAO,44430
44560,44,560,MANAURE,44560
44650,44,650,SAN JUAN DEL CESAR,44650
44847,44,847,URIBIA,44847
44855,44,855,URUMITA,44855
44874,44,874,VILLANUEVA,44874
47001,47,001,SANTA MARTA,47001
47030,47,030,ALGARROBO,47030
47053,47,053,ARACATACA,47053
47058,47,058,ARIGUANÍ,47058
47161,47,161,CERRO DE SAN ANTONIO,47161
47170,47,170,CHIVOLO,47170
47189,47,189,CIÉNAGA,47189
47205,47,205,CONCORDIA,47205
47245,47,245,EL BANCO,47245
47258,47,258,EL PIÑÓN,47258
47268,47,268,EL RETÉN,47268
47288,47,288,FUNDACIÓN,47288
47318,47,318,GUAMAL,47318
47460,47,460,NUEVA GRANADA,47460
47541,47,541,PEDRAZA,47541
47545,47,545,PIJIÑO DEL CARMEN,47545
47551,47,551,PIVIJAY,47551
47555,47,555,PLATO,47555
47570,47,570,PUEBLOVIEJO,47570
47605,47,605,REMOLINO,47605
47660,47,660,SABANAS DE SAN ÁNGEL,47660
47675,47,675,SALAMINA,47675
47692,47,692,SAN SEBASTIÁN DE BUENAVISTA,47692
47703,47,703,SAN ZENÓN,47703
47707,47,707,SANTA ANA,47707
47720,47,720,SANTA BÁRBARA DE PINTO,47720
47745,47,745,SITIONUEVO,47745
47798,47,798,TENERIFE,47798
47960,47,960,ZAPAYÁN,47960
47980,47,980,ZONA BANANERA,47980
50001,50,001,VILLAVICENCIO,50001
50006,50,006,ACACÍAS,50006
50110,50,110,BARRANCA DE UPÍA,50110
50124,50,124,CABUYARO,50124
50150,50,150,CASTILLA LA NUEVA,50150
50223,50,223,SAN LUIS DE CUBARRAL,50223
50226,50,226,CUMARAL,50226
50245,50,245,EL CALVARIO,50245
50251,50,251,EL CASTILLO,50251
50270,50,270,EL DORADO,50270
50287,50,287,FUENTE DE ORO,50287
50313,50,313,GRANADA,50313
50318,50,318,GUAMAL,50318
50325,50,325,MAPIRIPÁN,50325
50330,50,330,MESETAS,50330
50350,50,350,LA MACARENA,50350
50370,50,370,URIBE,50370
50400,50,400,LEJANÍAS,50400
50450,50,450,PUERTO CONCORDIA,50450
50568,50,568,PUERTO GAITÁN,50568
50573,50,573,PUERTO LÓPEZ,50573
50577,50,577,PUERTO LLERAS,50577
50590,50,590,PUERTO RICO,50590
50606,50,606,RESTREPO,50606
50680,50,680,SAN CARLOS DE GUAROA,50680
50683,50,683,SAN JUAN DE ARAMA,50683
50686,50,686,SAN JUANITO,50686
50689,50,689,SAN MARTÍN,50689
50711,50,711,VISTAHERMOSA,50711
52001,52,001,PASTO,52001
52019,52,019,ALBÁN,52019
52022,52,022,ALDANA,52022
52036,52,036,ANCUYÁ,52036
52051,52,051,ARBOLEDA,52051
52079,52,079,BARBACOAS,52079
52083,52,083,BELÉN,52083
52110,52,110,BUESACO,52110
52203,52,203,COLÓN,52203
52207,52,207,CONSACÁ,52207
52210,52,210,CONTADERO,52210
52215,52,215,CÓRDOBA,52215
52224,52,224,CUASPÚD,52224
52227,52,227,CUMBAL,52227
52233,52,233,CUMBITARA,52233
52240,52,240,CHACHAGÜÍ,52240
52250,52,250,EL CHARCO,52250
52254,52,254,EL PEÑOL,52254
52256,52,256,EL ROSARIO,52256
52258,52,258,EL TABLÓN DE GÓMEZ,52258
52260,52,260,EL TAMBO,52260
52287,52,287,FUNES,52287
