DPTOMPIO,DPTO_CCDGO,MPIO_CCDGO,MPIO_CNMBR,MPIO_CCNCT,BANDERA,SUBREGION,AVG_PUNT_GLOBAL,AVG_PUNT_GLOBAL_20194,AVG_PUNT_GLOBAL_20224
05125,05,125,CAICEDO,05125,https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Caicedo_%28Antioquia%29.svg,Occidente,216,225,210
05129,05,129,CALDAS,05129,https://upload.wikimedia.org/wikipedia/commons/0/0d/Flag_of_Caldas%2C_Antioquia.svg,Valle de Aburrá,253,249,257
05134,05,134,CAMPAMENTO,05134,https://upload.wikimedia.org/wikipedia/commons/3/32/Flag_of_Campamento_%28Antioquia%29.svg,Norte,225,226,225
05138,05,138,CAÑASGORDAS,05138,https://upload.wikimedia.org/wikipedia/commons/8/85/Flag_of_Ca%C3%B1asgordas_%28Antioquia%29.svg,Occidente,219,213,225
05142,05,142,CARACOLÍ,05142,https://upload.wikimedia.org/wikipedia/commons/e/ea/Flag_of_Caracol%C3%AD_%28Antioquia%29.svg,Magdalena Medio,223,219,230
05145,05,145,CARAMANTA,05145,https://upload.wikimedia.org/wikipedia/commons/b/be/Flag_of_Caramanta_%28Antioquia%29.svg,Suroeste,229,230,228
05147,05,147,CAREPA,05147,https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Carepa_%28Antioquia%29.svg,Urabá,232,231,233
05148,05,148,EL CARMEN DE VIBORAL,05148,https://upload.wikimedia.org/wikipedia/commons/9/9e/Flag_of_El_Carmen_de_Viboral_%28Antioquia%29.svg,Oriente,266,266,267
05150,05,150,CAROLINA,05150,https://upload.wikimedia.org/wikipedia/commons/d/dd/Flag_of_Carolina_del_Pr%C3%ADncipe_%28Antioquia%29.svg,Norte,240,252,230
05154,05,154,CAUCASIA,05154,https://upload.wikimedia.org/wikipedia/commons/1/17/Flag_of_Caucasia_%28Antioquia%29.svg,Bajo Cauca,244,245,244
05172,05,172,CHIGORODÓ,05172,https://upload.wikimedia.org/wikipedia/commons/5/57/Flag_of_Chigorod%C3%B3_%28Antioquia%29.svg,Urabá,225,222,228
05190,05,190,CISNEROS,05190,https://upload.wikimedia.org/wikipedia/commons/0/0a/Flag_of_Cisneros_%28Antioquia%29.svg,Nordeste,231,221,241
05197,05,197,COCORNÁ,05197,https://upload.wikimedia.org/wikipedia/commons/8/8c/Flag_of_Cocorn%C3%A1_%28Antioquia%29.svg,Oriente,247,245,249
05206,05,206,CONCEPCIÓN,05206,https://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Concepci%C3%B3n_%28Antioquia%29.svg,Oriente,230,233,225
05209,05,209,CONCORDIA,05209,https://upload.wikimedia.org/wikipedia/commons/2/29/Flag_of_Concordia_%28Antioquia%29.svg,Suroeste,217,218,217
05212,05,212,COPACABANA,05212,https://upload.wikimedia.org/wikipedia/commons/e/e4/Flag_of_Copacabana_%28Antioquia%29.svg,Valle de Aburrá,261,258,264
05234,05,234,DABEIBA,05234,https://upload.wikimedia.org/wikipedia/commons/6/61/Flag_of_Dabeiba_%28Antioquia%29.svg,Occidente,211,209,213
05237,05,237,DONMATÍAS,05237,https://upload.wikimedia.org/wikipedia/commons/0/0d/Flag_of_Donmat%C3%ADas_%28Antioquia%29.svg,Norte,246,252,242
05240,05,240,EBÉJICO,05240,https://upload.wikimedia.org/wikipedia/commons/5/5d/Flag_of_Eb%C3%A9jico_%28Antioquia%29.svg,Occidente,226,225,228
05250,05,250,EL BAGRE,05250,https://upload.wikimedia.org/wikipedia/commons/e/e9/Flag_of_El_Bagre_%28Antioquia%29.svg,Bajo Cauca,216,218,215
05264,05,264,ENTRERRÍOS,05264,https://upload.wikimedia.org/wikipedia/commons/a/a5/Flag_of_Entrerr%C3%ADos_%28Antioquia%29.svg,Norte,261,262,260
05266,05,266,ENVIGADO,05266,https://upload.wikimedia.org/wikipedia/commons/6/6c/Flag_of_Envigado_%28Antioquia%29.svg,Valle de Aburrá,280,278,283
05282,05,282,FREDONIA,05282,https://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_Fredonia_%28Antioquia%29.svg,Suroeste,228,222,239
05284,05,284,FRONTINO,05284,https://upload.wikimedia.org/wikipedia/commons/4/40/Flag_of_Frontino_%28Antioquia%29.svg,Occidente,237,235,239
05306,05,306,GIRALDO,05306,https://upload.wikimedia.org/wikipedia/commons/8/8b/Flag_of_Giraldo_%28Antioquia%29.svg,Occidente,220,223,217
05308,05,308,GIRARDOTA,05308,https://upload.wikimedia.org/wikipedia/commons/3/3f/Flag_of_Girardota_%28Antioquia%29.svg,Valle de Aburrá,254,257,252
05310,05,310,GÓMEZ PLATA,05310,https://upload.wikimedia.org/wikipedia/commons/b/b3/Flag_of_G%C3%B3mez_Plata_%28Antioquia%29.svg,Norte,240,236,244
05313,05,313,GRANADA,05313,https://upload.wikimedia.org/wikipedia/commons/8/80/Flag_of_Granada_%28Antioquia%29.svg,Oriente,241,240,243
05315,05,315,GUADALUPE,05315,https://upload.wikimedia.org/wikipedia/commons/f/fb/Flag_of_Guadalupe_%28Antioquia%29.svg,Norte,237,230,246
05318,05,318,GUARNE,05318,https://upload.wikimedia.org/wikipedia/commons/3/36/Flag_of_Guarne_%28Antioquia%29.svg,Oriente,261,266,256
05321,05,321,GUATAPÉ,05321,https://upload.wikimedia.org/wikipedia/commons/e/e5/Flag_of_Guatap%C3%A9_%28Antioquia%29.svg,Oriente,248,242,255
05347,05,347,HELICONIA,05347,https://upload.wikimedia.org/wikipedia/commons/7/71/Flag_of_Heliconia_%28Antioquia%29.svg,Occidente,227,215,237
05353,05,353,HISPANIA,05353,https://upload.wikimedia.org/wikipedia/commons/e/eb/Flag_of_Hispania_%28Antioquia%29.svg,Suroeste,253,260,248
05360,05,360,ITAGÜÍ,05360,https://upload.wikimedia.org/wikipedia/commons/e/ea/Flag_of_Itag%C3%BC%C3%AD_%28Antioquia%29.svg,Valle de Aburrá,258,254,262
05361,05,361,ITUANGO,05361,https://upload.wikimedia.org/wikipedia/commons/2/24/Flag_of_Ituango_%28Antioquia%29.svg,Norte,206,204,209
05364,05,364,JARDÍN,05364,https://upload.wikimedia.org/wikipedia/commons/9/9b/Flag_of_Jard%C3%ADn_%28Antioquia%29.svg,Suroeste,250,253,248
05368,05,368,JERICÓ,05368,https://upload.wikimedia.org/wikipedia/commons/c/ce/Flag_of_Jeric%C3%B3_%28Antioquia%29.svg,Suroeste,247,246,247
05376,05,376,LA CEJA,05376,https://upload.wikimedia.org/wikipedia/commons/9/94/Flag_of_La_Ceja_%28Antioquia%29.svg,Oriente,266,264,269
05380,05,380,LA ESTRELLA,05380,https://upload.wikimedia.org/wikipedia/commons/f/f4/Flag_of_La_Estrella_%28Antioquia%29.svg,Valle de Aburrá,271,271,271
05390,05,390,LA PINTADA,05390,https://upload.wikimedia.org/wikipedia/commons/3/36/Flag_of_La_Pintada_%28Antioquia%29.svg,Suroeste,230,219,241
05400,05,400,LA UNIÓN,05400,https://upload.wikimedia.org/wikipedia/commons/5/5a/Flag_of_La_Uni%C3%B3n.svg,Oriente,249,244,255
05411,05,411,LIBORINA,05411,https://upload.wikimedia.org/wikipedia/commons/d/d6/Flag_of_Liborina.svg,Occidente,215,204,230
05425,05,425,MACEO,05425,https://upload.wikimedia.org/wikipedia/commons/5/53/Flag_of_Maceo_%28Antioquia%29.svg,Magdalena Medio,231,221,241
05440,05,440,MARINILLA,05440,https://upload.wikimedia.org/wikipedia/commons/2/2b/Flag_of_Marinilla_%28Antioquia%29.svg,Oriente,259,255,262
05467,05,467,MONTEBELLO,05467,https://upload.wikimedia.org/wikipedia/commons/2/28/Flag_of_Montebello_%28Antioquia%29.svg,Suroeste,227,222,231
05475,05,475,MURINDÓ,05475,https://upload.wikimedia.org/wikipedia/commons/5/50/Flag_of_Murind%C3%B3_%28Antioquia%29.svg,Urabá,187,185,192
05480,05,480,MUTATÁ,05480,https://upload.wikimedia.org/wikipedia/commons/8/8b/Flag_of_Mutat%C3%A1_%28Antioquia%29.svg,Urabá,212,211,213
05483,05,483,NARIÑO,05483,https://upload.wikimedia.org/wikipedia/commons/e/ed/Flag_of_Nari%C3%B1o_%28Antioquia%29.svg,Oriente,219,211,227
05490,05,490,NECOCLÍ,05490,https://upload.wikimedia.org/wikipedia/commons/a/a5/Flag_of_Necocl%C3%AD_%28Antioquia%29.svg,Urabá,205,201,209
05495,05,495,NECHÍ,05495,https://upload.wikimedia.org/wikipedia/commons/c/c2/Flag_of_Nech%C3%AD_%28Antioquia%29.svg,Bajo Cauca,208,201,215
05501,05,501,OLAYA,05501,https://upload.wikimedia.org/wikipedia/commons/9/98/Flag_of_Olaya_%28Antioquia%29.svg,Occidente,239,233,246
05541,05,541,PEÑOL,05541,https://upload.wikimedia.org/wikipedia/commons/b/b2/Flag_of_El_Pe%C3%B1ol_%28Antioquia%29.svg,Oriente,239,242,237
05543,05,543,PEQUE,05543,https://upload.wikimedia.org/wikipedia/commons/f/fd/Flag_of_Peque_%28Antioquia%29.svg,Occidente,217,212,223
05576,05,576,PUEBLORRICO,05576,https://upload.wikimedia.org/wikipedia/commons/c/c0/Flag_of_Pueblorrico_%28Antioquia%29.svg,Suroeste,228,218,237
05579,05,579,PUERTO BERRÍO,05579,https://upload.wikimedia.org/wikipedia/commons/8/8e/Flag_of_Puerto_Berr%C3%ADo_%28Antioquia%29.svg,Magdalena Medio,217,215,220
05585,05,585,PUERTO NARE,05585,https://upload.wikimedia.org/wikipedia/commons/2/23/Flag_of_Puerto_Nare_%28Antioquia%29.svg,Magdalena Medio,220,224,216
05591,05,591,PUERTO TRIUNFO,05591,https://upload.wikimedia.org/wikipedia/commons/9/94/Flag_of_Puerto_Triunfo_%28Antioquia%29.svg,Magdalena Medio,244,245,244
05604,05,604,REMEDIOS,05604,https://upload.wikimedia.org/wikipedia/commons/0/09/Flag_of_Remedios_%28Antioquia%29.svg,Nordeste,208,207,209
05607,05,607,RETIRO,05607,https://upload.wikimedia.org/wikipedia/commons/0/0d/Flag_of_El_Retiro_%28Antioquia%29.svg,Oriente,270,272,268
05615,05,615,RIONEGRO,05615,https://upload.wikimedia.org/wikipedia/commons/1/1c/Flag_of_Rionegro_%28Antioquia%29.svg,Oriente,259,254,264
05628,05,628,SABANALARGA,05628,https://upload.wikimedia.org/wikipedia/commons/7/7b/Flag_of_Sabanalarga_%28Antioquia%29.svg,Occidente,220,222,218
05631,05,631,SABANETA,05631,https://upload.wikimedia.org/wikipedia/commons/c/c1/Flag_of_Sabaneta_%28Antioquia%29.svg,Valle de Aburrá,273,268,278
05642,05,642,SALGAR,05642,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Salgar_%28Antioquia%29.svg,Suroeste,232,228,237
05647,05,647,SAN ANDRÉS DE CUERQUÍA,05647,https://upload.wikimedia.org/wikipedia/commons/8/88/Flag_of_San_Andr%C3%A9s_de_Cuerquia.svg,Norte,227,222,233
05649,05,649,SAN CARLOS,05649,https://upload.wikimedia.org/wikipedia/commons/3/3b/Flag_of_San_Carlos_%28Antioquia%29.svg,Oriente,230,228,231
05652,05,652,SAN FRANCISCO,05652,https://upload.wikimedia.org/wikipedia/commons/c/cc/Flag_of_San_Francisco_%28Antioquia%29.svg,Oriente,237,235,239
05656,05,656,SAN JERÓNIMO,05656,https://upload.wikimedia.org/wikipedia/commons/8/89/Flag_of_San_Jer%C3%B3nimo_%28Antioquia%29.svg,Occidente,231,223,241
05658,05,658,SAN JOSÉ DE LA MONTAÑA,05658,https://upload.wikimedia.org/wikipedia/commons/c/ca/Flag_of_San_Jos%C3%A9_de_la_Monta%C3%B1a_%28Antioquia%29.svg,Norte,221,213,234
05659,05,659,SAN JUAN DE URABÁ,05659,https://upload.wikimedia.org/wikipedia/commons/e/ea/Flag_of_San_Juan_de_Urab%C3%A1_%28Antioquia%29.svg,Urabá,213,216,210
05660,05,660,SAN LUIS,05660,https://upload.wikimedia.org/wikipedia/commons/a/aa/Flag_of_San_Luis_%28Antioquia%29.svg,Oriente,238,239,236
05664,05,664,SAN PEDRO DE LOS MILAGROS,05664,https://upload.wikimedia.org/wikipedia/commons/3/37/Flag_of_San_Pedro_de_los_Milagros_%28Antioquia%29.svg,Norte,245,241,251
05665,05,665,SAN PEDRO DE URABÁ,05665,https://upload.wikimedia.org/wikipedia/commons/e/e5/Flag_of_San_Pedro_de_Urab%C3%A1_%28Antioquia%29.svg,Urabá,221,216,225
05667,05,667,SAN RAFAEL,05667,https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_San_Rafael_%28Antioquia%29.svg,Oriente,238,232,245
05670,05,670,SAN ROQUE,05670,https://upload.wikimedia.org/wikipedia/commons/1/11/Flag_of_San_Roque_%28Antioquia%29.svg,Nordeste,223,223,224
05674,05,674,SAN VICENTE FERRER,05674,https://upload.wikimedia.org/wikipedia/commons/b/b0/Flag_of_San_Vicente_%28Antioquia%29.svg,Oriente,243,243,243
05679,05,679,SANTA BÁRBARA,05679,https://upload.wikimedia.org/wikipedia/commons/b/be/Flag_of_Santa_B%C3%A1rbara_%28Antioquia%29.svg,Suroeste,240,238,243
05686,05,686,SANTA ROSA DE OSOS,05686,https://upload.wikimedia.org/wikipedia/commons/6/63/Flag_of_Santa_Rosa_de_Osos_%28Antioquia%29.svg,Norte,256,251,261
05690,05,690,SANTO DOMINGO,05690,https://upload.wikimedia.org/wikipedia/commons/1/11/Flag_of_San_Roque_%28Antioquia%29.svg,Nordeste,231,223,239
05697,05,697,EL SANTUARIO,05697,https://upload.wikimedia.org/wikipedia/commons/f/f7/Flag_of_El_Santuario_%28Antioquia%29.svg,Oriente,240,237,244
05736,05,736,SEGOVIA,05736,https://upload.wikimedia.org/wikipedia/commons/8/8e/Flag_of_Segovia_%28Antioquia%29.svg,Nordeste,213,211,216
05756,05,756,SONSÓN,05756,https://upload.wikimedia.org/wikipedia/commons/0/05/Flag_of_Sons%C3%B3n_%28Antioquia%29.svg,Oriente,235,234,235
05761,05,761,SOPETRÁN,05761,https://upload.wikimedia.org/wikipedia/commons/2/24/Flag_of_Sopetr%C3%A1n_%28Antioquia%29.svg,Occidente,221,217,224
05789,05,789,TÁMESIS,05789,https://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_T%C3%A1mesis_%28Antioquia%29.svg,Suroeste,231,226,239
05790,05,790,TARAZÁ,05790,https://upload.wikimedia.org/wikipedia/commons/3/3c/Flag_of_Taraz%C3%A1_%28Antioquia%29.svg,Bajo Cauca,216,211,223
05792,05,792,TARSO,05792,https://upload.wikimedia.org/wikipedia/commons/6/61/Flag_of_Tarso_%28Antioquia%29.svg,Suroeste,237,230,245
05809,05,809,TITIRIBÍ,05809,https://upload.wikimedia.org/wikipedia/commons/e/e0/Flag_of_Titirib%C3%AD_%28Antioquia%29.svg,Suroeste,233,235,232
05819,05,819,TOLEDO,05819,https://upload.wikimedia.org/wikipedia/commons/6/6e/Flag_of_Toledo_%28Antioquia%29.svg,Norte,218,231,210
05837,05,837,TURBO,05837,https://upload.wikimedia.org/wikipedia/commons/6/61/Flag_of_Turbo_%28Antioquia%29.svg,Urabá,211,207,214
05842,05,842,URAMITA,05842,https://upload.wikimedia.org/wikipedia/commons/4/4e/Flag_of_Uramita_%28Antioquia%29.svg,Occidente,221,219,223
05847,05,847,URRAO,05847,https://upload.wikimedia.org/wikipedia/commons/e/e0/Flag_of_Titirib%C3%AD_%28Antioquia%29.svg,Suroeste,223,224,223
05854,05,854,VALDIVIA,05854,https://upload.wikimedia.org/wikipedia/commons/8/81/Flag_of_Valdivia_%28Antioquia%29.svg,Norte,228,221,234
05856,05,856,VALPARAÍSO,05856,https://upload.wikimedia.org/wikipedia/commons/1/1e/Flag_of_Valpara%C3%ADso_%28Antioquia%29.svg,Suroeste,235,236,234
05858,05,858,VEGACHÍ,05858,https://upload.wikimedia.org/wikipedia/commons/7/7d/Flag_of_Vegach%C3%AD_%28Antioquia%29.svg,Nordeste,216,215,216
05861,05,861,VENECIA,05861,https://upload.wikimedia.org/wikipedia/commons/b/b7/Flag_of_Venecia_%28Antioquia%29.svg,Suroeste,223,225,221
05873,05,873,VIGÍA DEL FUERTE,05873,https://upload.wikimedia.org/wikipedia/commons/b/b9/Flag_of_Vig%C3%ADa_del_Fuerte_%28Antioquia%29.svg,Urabá,190,190,191
05885,05,885,YALÍ,05885,https://upload.wikimedia.org/wikipedia/commons/9/95/Flag_of_Yal%C3%AD_%28Antioquia%29.svg,Nordeste,211,213,208
05887,05,887,YARUMAL,05887,https://upload.wikimedia.org/wikipedia/commons/c/c3/Flag_of_Yarumal.svg,Norte,245,237,254
05890,05,890,YOLOMBÓ,05890,https://upload.wikimedia.org/wikipedia/commons/e/ef/Flag_of_Yolomb%C3%B3_%28Antioquia%29.svg,Nordeste,211,209,213
05893,05,893,YONDÓ,05893,https://upload.wikimedia.org/wikipedia/commons/3/3f/Flag_of_Yond%C3%B3_%28Antioquia%29.svg,Magdalena Medio,228,224,232
05895,05,895,ZARAGOZA,05895,https://upload.wikimedia.org/wikipedia/commons/1/13/Flag_of_Zaragoza_%28Antioquia%29.svg,Bajo Cauca,201,198,205
